ticker,current_price,total_return_pct,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,max_profit_potential,upward_runs,downward_runs,momentum_score,win_rate,sma5_signal,sma20_signal
AAPL,254.94000244140625,12.573181588576546,17.181380166988227,32.63767055941482,0.5264278936730674,165.10655096455744,61,61,0,53.38645418326693,BUY,BUY
MSFT,508.4324951171875,18.76598917396542,20.363065011624474,24.74932786645308,0.82277244543784,135.98440702000613,69,69,0,54.581673306772906,SELL,BUY
GOOGL,247.3300018310547,52.658231686872895,47.80730458693401,32.16882635070146,1.486137668366989,228.94941611520525,62,61,1,54.18326693227091,SELL,BUY
AMZN,219.4001007080078,14.773015539283557,19.537012990165024,33.72679917991098,0.5792726693673927,211.48258178450564,66,66,0,51.39442231075697,SELL,SELL
TSLA,425.5,67.37471401024767,76.49804488285538,70.90159769234351,1.078932596340015,527.5824248905889,60,59,1,49.40239043824701,SELL,BUY
NVDA,176.2100067138672,42.09975568354159,47.79672710501325,49.690802247949996,0.9618827819787337,315.85749785738585,70,71,-1,53.78486055776892,SELL,BUY
META,742.9000244140625,31.240481117286222,33.93170511362865,36.46880080316824,0.9304310634387742,232.9169689796426,63,64,-1,50.99601593625498,SELL,SELL
NFLX,1205.85498046875,69.49734940656236,58.622874678199075,33.01400425495765,1.7756971927873855,292.1425653880395,63,64,-1,54.980079681274894,SELL,SELL
JPM,314.510009765625,53.29039132774865,46.69746066240312,27.005587618122906,1.729177728799554,193.3842632232742,64,62,2,57.37051792828686,BUY,BUY
BAC,52.14509963989258,35.051217508778635,34.18596203825738,27.75691813988772,1.2316195143123936,174.31667340793584,61,60,1,53.78486055776892,BUY,BUY
GS,802.864990234375,64.86499206108437,55.850674276324355,33.14336680386397,1.6851237415570313,238.28568929070144,68,67,1,55.77689243027888,BUY,BUY
MS,160.24319458007812,57.770483616794785,51.40306478096635,33.02881397031258,1.556309736921501,231.281789837573,68,68,0,55.77689243027888,BUY,BUY
C,102.97000122070312,71.98572095667576,59.988770659685606,32.396212817143365,1.8517217119879168,250.3109515460734,64,65,-1,55.77689243027888,BUY,BUY
V,337.0299987792969,24.920625207210374,24.88870438182014,22.147175369290874,1.1237868471629413,157.3623803581025,67,66,1,55.77689243027888,SELL,SELL
MA,565.0,15.669910611276322,17.11011083859949,22.04654575034562,0.7760903241874642,138.3329141108779,68,68,0,54.980079681274894,SELL,SELL
PYPL,66.7699966430664,-16.620885219344135,-11.682050746409292,36.21411996845273,-0.32258275933768094,173.3578700422989,74,74,0,51.39442231075697,SELL,SELL
JNJ,178.98500061035156,14.487152946853483,15.49018560495943,19.222382746005277,0.8058410765012232,111.46019235272078,65,64,1,54.18326693227091,BUY,BUY
PFE,23.665000915527344,-12.580165066001669,-10.51196936721473,24.666493244092,-0.4261639164996633,125.84721618725396,67,66,1,49.00398406374502,SELL,SELL
MRK,77.82469940185547,-28.634675875854782,-30.270315330507724,27.15041445997981,-1.1149117217023226,109.84977770744302,67,67,0,47.808764940239044,SELL,SELL
UNH,343.42999267578125,-38.95756233687096,-37.094410302567624,48.94113414476204,-0.7579393275367666,152.68947378755772,64,64,0,50.59760956175299,SELL,BUY
ABBV,219.69000244140625,18.575770131607243,21.154135497127484,27.94362099604575,0.7570291445092592,155.58331568813435,59,57,2,51.39442231075697,SELL,BUY
WMT,103.25,30.451379928959767,29.649310006556334,23.918908831005638,1.2395761953874116,170.21646460456745,59,59,0,55.37848605577689,BUY,BUY
COST,921.0,2.6941725305959228,4.98549124860545,21.48586784138467,0.23203583329330194,131.65246429307405,61,62,-1,49.800796812749006,SELL,SELL
PG,152.07000732421875,-9.984920803736063,-8.904234905529359,18.407968431202747,-0.48371632854585295,97.21874408675573,63,63,0,52.191235059760956,SELL,SELL
KO,66.1449966430664,-4.573647984224162,-3.277913943819671,17.020963034391297,-0.19258099187434705,95.91902775542785,64,63,1,47.410358565737056,SELL,SELL
PEP,140.52000427246094,-13.988956470419131,-12.801347267757206,21.895405692552156,-0.5846590580466685,103.87973067468717,72,71,1,48.20717131474104,SELL,SELL
MCD,303.875,2.4097839046943093,4.134185059560012,18.629603406831965,0.2219148185432599,107.25913654235374,64,63,1,52.191235059760956,BUY,SELL
TGT,88.28500366210938,-41.21636195591557,-45.25029555182229,39.67543020217541,-1.140511780747905,133.1974700214262,71,71,0,47.01195219123506,BUY,SELL
XOM,117.96499633789062,8.36017533119887,10.90144229364744,23.647351846654264,0.46100055364930115,139.50095294027363,59,58,1,54.18326693227091,BUY,BUY
CVX,160.49000549316406,18.155593405944067,19.88841716442752,24.65543217566318,0.8066545750538061,156.04155559255219,60,60,0,56.573705179282875,BUY,BUY
COP,99.26499938964844,0.15231226053271188,5.880035581028772,33.72803740216322,0.1743367249898639,174.90966682895757,62,61,1,52.191235059760956,BUY,BUY
BA,221.17559814453125,43.08163767927818,42.94264505999863,37.093798254209005,1.1576772150888042,251.5238898559852,64,63,1,53.38645418326693,BUY,SELL
CAT,463.6700134277344,20.475176951798318,23.06940298946892,29.405643714399353,0.7845229716284803,161.12615752928474,60,60,0,50.59760956175299,SELL,BUY
GE,296.1549987792969,61.23484696499013,53.311960821954564,31.918937907309385,1.6702297857394002,225.66870237061275,63,63,0,57.76892430278885,SELL,BUY
MMM,153.2050018310547,12.059866346603284,15.690638293002927,29.112394796774073,0.5389676253889494,170.2355452498758,64,65,-1,50.59760956175299,SELL,SELL
DIS,113.08999633789062,19.82721455620761,22.5612186451685,29.637498310066963,0.7612389685908523,168.86803869443276,74,73,1,49.00398406374502,BUY,SELL
CMCSA,31.739999771118164,-19.94809896650125,-18.49159962190241,27.803326638096593,-0.6650858676948717,121.64835931351514,71,70,1,50.199203187250994,BUY,SELL
T,28.434999465942383,37.50452295391619,34.620773989094545,22.350814305529944,1.5489714833579387,174.9398146213784,64,62,2,55.77689243027888,SELL,SELL
VZ,43.61000061035156,4.3033134259780494,6.429578278104084,20.861878430960225,0.30819747605096875,118.69777466922397,63,63,0,49.40239043824701,BUY,SELL
ORCL,286.4100036621094,72.16353905670074,70.25039543932324,57.80662090440673,1.2152655585161163,344.593493559884,65,65,0,54.980079681274894,SELL,BUY
ADBE,355.04998779296875,-31.10908758020205,-31.824792199494222,33.28420004759882,-0.9561531343394903,120.89331389227789,65,64,1,50.199203187250994,SELL,BUY
CRM,241.99000549316406,-11.714987678331298,-7.262148182654225,32.74108276645842,-0.22180537627466398,187.16552408899034,68,67,1,50.99601593625498,SELL,SELL
INTC,35.005001068115234,46.34197724274735,57.15524670696027,62.50179785394544,0.9144576423308812,334.92895166234763,61,61,0,45.0199203187251,BUY,BUY
AMD,158.79010009765625,-5.19428330657192,7.525335688635009,51.45768589945274,0.1462431813070522,209.24231719677041,56,57,-1,50.199203187250994,SELL,SELL
