ticker,total_return_pct,avg_daily_return,daily_volatility,annualized_return,annualized_volatility,sharpe_ratio,max_daily_gain,max_daily_loss,positive_days,negative_days,win_rate,analysis_date
AAPL,12.573181588576546,0.0006818008002773105,0.02055979992206332,17.181380166988227,32.63767055941482,0.5264278936730674,15.32884745965402,-9.245607048480542,134,115,53.38645418326693,2025-09-26 22:40:20
MSFT,18.76598917396542,0.0008080581353819236,0.015590611107294199,20.363065011624474,24.74932786645308,0.82277244543784,10.133677966961017,-6.180903860268358,137,113,54.581673306772906,2025-09-26 22:40:20
GOOGL,52.658231686872895,0.00189711526138627,0.020264455831613695,47.80730458693401,32.16882635070146,1.486137668366989,9.682114657847315,-7.292375669887507,136,113,54.18326693227091,2025-09-26 22:40:21
AMZN,14.773015539283557,0.0007752782932605168,0.021245886463871815,19.537012990165024,33.72679917991098,0.5792726693673927,11.977031526306256,-8.979129298487255,129,121,51.39442231075697,2025-09-26 22:40:21
TSLA,67.37471401024767,0.0030356367017006104,0.04466380834549809,76.49804488285538,70.90159769234351,1.078932596340015,22.68998983962453,-15.426206822195121,124,126,49.40239043824701,2025-09-26 22:40:21
NVDA,42.09975568354159,0.0018966955200402083,0.03130226314175357,47.79672710501325,49.690802247949996,0.9618827819787337,18.722734161151497,-16.96816529740683,135,115,53.78486055776892,2025-09-26 22:40:21
META,31.240481117286222,0.0013464962346678036,0.022973185128079946,33.93170511362865,36.46880080316824,0.9304310634387742,14.755608705942352,-8.958261041597645,128,122,50.99601593625498,2025-09-26 22:40:21
NFLX,69.49734940656236,0.0023263045507221857,0.02079686786691575,58.622874678199075,33.01400425495765,1.7756971927873855,11.087033742104218,-8.533483935832642,138,112,54.980079681274894,2025-09-26 22:40:21
JPM,53.29039132774865,0.0018530738358096476,0.01701192115398056,46.69746066240312,27.005587618122906,1.729177728799554,11.544530826879853,-7.483833931676859,144,105,57.37051792828686,2025-09-26 22:40:21
BAC,35.051217508778635,0.0013565857951689435,0.017485214895171537,34.18596203825738,27.75691813988772,1.2316195143123936,8.428843513466925,-11.063314219288989,135,111,53.78486055776892,2025-09-26 22:40:21
GS,64.86499206108437,0.0022162965982668393,0.0208783586129566,55.850674276324355,33.14336680386397,1.6851237415570313,13.097767326772459,-9.211503734835905,140,110,55.77689243027888,2025-09-26 22:40:21
MS,57.770483616794785,0.0020398041579748555,0.020806197110681657,51.40306478096635,33.02881397031258,1.556309736921501,11.611921679856469,-9.507838315221273,140,110,55.77689243027888,2025-09-26 22:40:21
C,71.98572095667576,0.0023805067722097463,0.020407695841543942,59.988770659685606,32.396212817143365,1.8517217119879168,9.154340192253487,-12.137678149913993,140,108,55.77689243027888,2025-09-26 22:40:21
V,24.920625207210374,0.000987646999278577,0.01395140911182827,24.88870438182014,22.147175369290874,1.1237868471629413,7.8372858296705985,-7.737410642837428,140,110,55.77689243027888,2025-09-26 22:40:21
MA,15.669910611276322,0.0006789726523253766,0.013888018410338666,17.11011083859949,22.04654575034562,0.7760903241874642,7.569493910643174,-7.686357207618104,138,112,54.980079681274894,2025-09-26 22:40:21
PYPL,-16.620885219344135,-0.00046357344231782907,0.022812751282281947,-11.682050746409292,36.21411996845273,-0.32258275933768094,11.391745223671428,-13.166130466819892,129,121,51.39442231075697,2025-09-26 22:40:21
JNJ,14.487152946853483,0.0006146899049587075,0.012108962940959244,15.49018560495943,19.222382746005277,0.8058410765012232,6.193208957752071,-7.591647311832782,136,114,54.18326693227091,2025-09-26 22:40:21
PFE,-12.580165066001669,-0.0004171416415561401,0.015538430199981494,-10.51196936721473,24.666493244092,-0.4261639164996633,5.184867308766824,-5.434339936487873,123,124,49.00398406374502,2025-09-26 22:40:21
MRK,-28.634675875854782,-0.001201202989305862,0.01710315348891395,-30.270315330507724,27.15041445997981,-1.1149117217023226,5.870730313467072,-9.069044021824968,120,129,47.808764940239044,2025-09-26 22:40:21
UNH,-38.95756233687096,-0.0014720004088320485,0.030830016625831465,-37.094410302567624,48.94113414476204,-0.7579393275367666,11.978345803153271,-22.379666403081984,127,123,50.59760956175299,2025-09-26 22:40:21
ABBV,18.575770131607243,0.0008394498213145827,0.01760282663956668,21.154135497127484,27.94362099604575,0.7570291445092592,6.360519541054082,-12.566412994870237,129,120,51.39442231075697,2025-09-26 22:40:21
WMT,30.451379928959767,0.0011765599208950926,0.015067496285444662,29.649310006556334,23.918908831005638,1.2395761953874116,9.548837904169247,-6.528848092591093,139,110,55.37848605577689,2025-09-26 22:40:21
COST,2.6941725305959228,0.00019783695430974007,0.013534824526358099,4.98549124860545,21.48586784138467,0.23203583329330194,6.210728873984495,-6.069431234487719,125,125,49.800796812749006,2025-09-26 22:40:21
PG,-9.984920803736063,-0.0003533426549813237,0.011595930145450063,-8.904234905529359,18.407968431202747,-0.48371632854585295,3.375592566162824,-5.0118979466805555,131,119,52.191235059760956,2025-09-26 22:40:21
KO,-4.573647984224162,-0.00013007595015157426,0.010722198872338738,-3.277913943819671,17.020963034391297,-0.19258099187434705,4.725018793900137,-4.4410994656380485,119,129,47.410358565737056,2025-09-26 22:40:21
PEP,-13.988956470419131,-0.0005079899709427463,0.013792809123181182,-12.801347267757206,21.895405692552156,-0.5846590580466685,7.454743181836551,-4.885419568351878,121,128,48.20717131474104,2025-09-26 22:40:21
MCD,2.4097839046943093,0.00016405496268095284,0.01173554705672358,4.134185059560012,18.629603406831965,0.2219148185432599,4.79782109678044,-5.705851200474645,131,119,52.191235059760956,2025-09-26 22:40:21
TGT,-41.21636195591557,-0.0017956466488818369,0.02499317177963268,-45.25029555182229,39.67543020217541,-1.140511780747905,10.060838992636556,-21.410125585706847,118,132,47.01195219123506,2025-09-26 22:40:21
XOM,8.36017533119887,0.00043259691641458093,0.014896431464640758,10.90144229364744,23.647351846654264,0.46100055364930115,4.991569318984209,-7.195592768636942,136,114,54.18326693227091,2025-09-26 22:40:21
CVX,18.155593405944067,0.0007892229033502983,0.015531462381815462,19.88841716442752,24.65543217566318,0.8066545750538061,6.645741919193417,-8.224431403287443,142,108,56.573705179282875,2025-09-26 22:40:21
COP,0.15231226053271188,0.00023333474527891955,0.021246666470573543,5.880035581028772,33.72803740216322,0.1743367249898639,10.70651544493041,-10.22619947403429,131,119,52.191235059760956,2025-09-26 22:40:21
BA,43.08163767927818,0.0017040732166666123,0.0233668965151045,42.94264505999863,37.093798254209005,1.1576772150888042,15.374135898132286,-10.471045415356627,134,116,53.38645418326693,2025-09-26 22:40:21
CAT,20.475176951798318,0.0009154524995821001,0.018523814383350077,23.06940298946892,29.405643714399353,0.7845229716284803,9.881734837340181,-8.63563452488091,127,123,50.59760956175299,2025-09-26 22:40:21
GE,61.23484696499013,0.0021155540008712128,0.020107040908584062,53.311960821954564,31.918937907309385,1.6702297857394002,10.568580050283092,-11.096307564330072,145,105,57.76892430278885,2025-09-26 22:40:21
MMM,12.059866346603284,0.0006226443767064653,0.0183390849289988,15.690638293002927,29.112394796774073,0.5389676253889494,8.776348306439889,-9.181341641889302,127,122,50.59760956175299,2025-09-26 22:40:21
DIS,19.82721455620761,0.0008952864541733531,0.018669869050127203,22.5612186451685,29.637498310066963,0.7612389685908523,11.894273251662968,-9.235803160115383,123,127,49.00398406374502,2025-09-26 22:40:21
CMCSA,-19.94809896650125,-0.0007337936357897782,0.017514449501119314,-18.49159962190241,27.803326638096593,-0.6650858676948717,7.125455946185339,-11.001074704882463,126,121,50.199203187250994,2025-09-26 22:40:21
T,37.50452295391619,0.001373840237662482,0.014079689583861202,34.620773989094545,22.350814305529944,1.5489714833579387,6.2500005355561745,-6.853143501919081,140,109,55.77689243027888,2025-09-26 22:40:21
VZ,4.3033134259780494,0.0002551419951628605,0.013141748145234075,6.429578278104084,20.861878430960225,0.30819747605096875,4.137467488197441,-6.582058937926496,124,124,49.40239043824701,2025-09-26 22:40:21
ORCL,72.16353905670074,0.0027877141047350494,0.03641474834429711,70.25039543932324,57.80662090440673,1.2152655585161163,35.94881952720688,-13.79085617423052,138,112,54.980079681274894,2025-09-26 22:40:21
ADBE,-31.10908758020205,-0.0012628885793450088,0.02096707521754064,-31.824792199494222,33.28420004759882,-0.9561531343394903,7.247063131893381,-13.853171208411885,126,123,50.199203187250994,2025-09-26 22:40:21
CRM,-11.714987678331298,-0.00028818048343865973,0.020624943489293245,-7.262148182654225,32.74108276645842,-0.22180537627466398,10.994792382664645,-6.006495541585572,128,122,50.99601593625498,2025-09-26 22:40:21
INTC,46.34197724274735,0.0022680653455142965,0.039372431813326225,57.15524670696027,62.50179785394544,0.9144576423308812,22.771084992605388,-11.502451576475071,113,135,45.0199203187251,2025-09-26 22:40:21
AMD,-5.19428330657192,0.00029862443208869083,0.03241529522210166,7.525335688635009,51.45768589945274,0.1462431813070522,23.820480081192912,-10.616537682095863,126,124,50.199203187250994,2025-09-26 22:40:21
